Museum Name,Museum Type,City,State,Income,Revenue,Museum Name2,Rating,Review Count
WALTON'S MOUNTAIN MUSEUM,GENERAL MUSEUM,SCHUYLER,VA,"$209,790.00 ","$167,675.00 ",WALTON'S MOUNTAIN MUSEUM,4,161
BENNINGTON MUSEUM,HISTORY MUSEUM,BENNINGTON,VT,"$3,115,484.00 ","$639,183.00 ",BENNINGTON MUSEUM,4.5,199
FAIRBANKS MUSEUM AND PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,ST JOHNSBURY,VT,"$886,846.00 ","$857,642.00 ",FAIRBANKS MUSEUM AND PLANETARIUM,4.5,103
SHELBURNE MUSEUM,GENERAL MUSEUM,SHELBURNE,VT,"$10,712,690.00 ","$8,202,635.00 ",SHELBURNE MUSEUM,4.5,770
BAINBRIDGE ISLAND MUSEUM OF ART,ART MUSEUM,BAINBRIDGE IS,WA,"$4,309,633.00 ","$4,260,214.00 ",BAINBRIDGE ISLAND MUSEUM OF ART,4.5,147
CHIHULY GARDEN AND GLASS,ART MUSEUM,SEATTLE,WA,0,0,CHIHULY GARDEN AND GLASS,5,"14,080"
EMP MUSEUM,GENERAL MUSEUM,SEATTLE,WA,"$16,765,430.00 ","$16,561,233.00 ",EMP MUSEUM,4,"4,067"
LEMAY - AMERICA'S CAR MUSEUM,GENERAL MUSEUM,TACOMA,WA,"$7,735,689.00 ","$7,142,421.00 ",LEMAY - AMERICA'S CAR MUSEUM,4.5,685
LIVING COMPUTER MUSEUM,GENERAL MUSEUM,SEATTLE,WA,"$73,387.00 ",0,LIVING COMPUTER MUSEUM,4.5,89
MARYHILL MUSEUM OF ART,ART MUSEUM,GOLDENDALE,WA,"$1,640,461.00 ","$1,126,419.00 ",MARYHILL MUSEUM OF ART,4.5,244
MUSEUM OF GLASS,ART MUSEUM,TACOMA,WA,"$5,119,369.00 ","$4,552,614.00 ",MUSEUM OF GLASS,4,880
PACIFIC SCIENCE CENTER,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,SEATTLE,WA,"$23,464,256.00 ","$19,781,703.00 ",PACIFIC SCIENCE CENTER,4,"1,083"
PUGET SOUND NAVY MUSEUM,GENERAL MUSEUM,BREMERTON,WA,0,0,PUGET SOUND NAVY MUSEUM,4.5,139
SEATTLE ART MUSEUM,ART MUSEUM,SEATTLE,WA,"$82,545,303.00 ","$39,300,038.00 ",SEATTLE ART MUSEUM,4.5,"1,042"
SEATTLE CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,SEATTLE,WA,"$1,590,586.00 ","$1,535,531.00 ",SEATTLE CHILDREN'S MUSEUM,4,171
TACOMA ART MUSEUM,ART MUSEUM,TACOMA,WA,"$45,151,084.00 ","$28,449,411.00 ",TACOMA ART MUSEUM,4.5,166
CHAZEN MUSEUM OF ART,ART MUSEUM,MADISON,WI,0,0,CHAZEN MUSEUM OF ART,4.5,193
DOOR COUNTY MARITIME MUSEUM,GENERAL MUSEUM,STURGEON BAY,WI,0,0,DOOR COUNTY MARITIME MUSEUM,4.5,247
EAA AIRVENTURE MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,OSHKOSH,WI,0,0,EAA AIRVENTURE MUSEUM,5,451
GROHMANN MUSEUM,GENERAL MUSEUM,MILWAUKEE,WI,0,0,GROHMANN MUSEUM,4.5,108
HARLEY-DAVIDSON MUSEUM,GENERAL MUSEUM,MILWAUKEE,WI,0,0,HARLEY-DAVIDSON MUSEUM,4.5,"1,847"
KENOSHA PUBLIC MUSEUM,GENERAL MUSEUM,KENOSHA,WI,"$26,258,696.00 ","$765,446.00 ",KENOSHA PUBLIC MUSEUM,4.5,125
MADISON CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,MADISON,WI,"$2,812,192.00 ","$2,651,752.00 ",MADISON CHILDREN'S MUSEUM,4.5,216
MILWAUKEE ART MUSEUM,ART MUSEUM,MILWAUKEE,WI,"$48,800,749.00 ","$16,083,374.00 ",MILWAUKEE ART MUSEUM,4.5,"1,753"
MILWAUKEE PUBLIC MUSEUM,GENERAL MUSEUM,MILWAUKEE,WI,"$12,749,491.00 ","$11,830,945.00 ",MILWAUKEE PUBLIC MUSEUM,4.5,721
NATIONAL MUSTARD MUSEUM,GENERAL MUSEUM,MIDDLETON,WI,"$62,046.00 ","$62,046.00 ",NATIONAL MUSTARD MUSEUM,4.5,329
NATIONAL RAILROAD MUSEUM,GENERAL MUSEUM,GREEN BAY,WI,"$2,027,385.00 ","$1,657,650.00 ",NATIONAL RAILROAD MUSEUM,4.5,266
WISCONSIN MARITIME MUSEUM,GENERAL MUSEUM,MANITOWOC,WI,"$1,291,286.00 ","$1,178,020.00 ",WISCONSIN MARITIME MUSEUM,4.5,304
WISCONSIN VETERANS MUSEUM,GENERAL MUSEUM,MADISON,WI,"$203,338.00 ","$161,904.00 ",WISCONSIN VETERANS MUSEUM,4.5,175
MOTHMAN MUSEUM,GENERAL MUSEUM,POINT PLEASANT,WV,0,0,MOTHMAN MUSEUM,4.5,149
WEST VIRGINIA STATE MUSEUM,GENERAL MUSEUM,CHARLESTON,WV,0,0,WEST VIRGINIA STATE MUSEUM,4.5,239
CHEYENNE FRONTIER DAYS OLD WEST MUSEUM,HISTORY MUSEUM,CHEYENNE,WY,"$984,077.00 ","$553,112.00 ",CHEYENNE FRONTIER DAYS OLD WEST MUSEUM,4.5,207
JACKSON HOLE MUSEUM,GENERAL MUSEUM,JACKSON,WY,"$870,537.00 ","$624,845.00 ",JACKSON HOLE MUSEUM,4,102
MUSEUM OF THE MOUNTAIN MAN,GENERAL MUSEUM,PINEDALE,WY,"$706,476.00 ","$622,431.00 ",MUSEUM OF THE MOUNTAIN MAN,4.5,134
NATIONAL MUSEUM OF WILDLIFE ART,ART MUSEUM,JACKSON,WY,"$8,597,963.00 ","$5,885,413.00 ",NATIONAL MUSEUM OF WILDLIFE ART,4.5,"1,158"
TATE GEOLOGICAL MUSEUM,GENERAL MUSEUM,CASPER,WY,0,0,TATE GEOLOGICAL MUSEUM,4.5,73
WYOMING STATE MUSEUM,GENERAL MUSEUM,CHEYENNE,WY,$0.00 ,$0.00 ,WYOMING STATE MUSEUM,4.5,263
